Instance name,vCPUs,Memory,Network Performance,Storage,On-Demand Hourly Cost,CurrentGeneration,Potential Effective Hourly Cost (Savings %)
c6gd.large,2,4 GiB,Up to 10 Gigabit,1 x 118 NVMe SSD,0.0768,Yes,0.0289 (62%)
m6g.large,2,8 GiB,Up to 10 Gigabit,EBS only,0.077,Yes,0.0291 (62%)
c5a.large,2,4 GiB,Up to 10 Gigabit,EBS only,0.077,Yes,0.0290 (62%)
m7g.large,2,8 GiB,Up to 12500 Megabit,EBS only,0.0816,Yes,0.0322 (61%)
t3.large,2,8 GiB,Up to 5 Gigabit,EBS only,0.0832,Yes,0.0313 (62%)
x2gd.medium,1,16 GiB,Up to 10 Gigabit,1 x 59 SSD,0.0835,Yes,0.0248 (70%)
c6i.large,2,4 GiB,Up to 12500 Megabit,EBS only,0.085,Yes,0.0326 (62%)
c5.large,2,4 GiB,Up to 10 Gigabit,EBS only,0.085,Yes,0.0307 (64%)
c5ad.large,2,4 GiB,Up to 10 Gigabit,1 x 75 NVMe SSD,0.086,Yes,0.0323 (62%)
m5a.large,2,8 GiB,Up to 10 Gigabit,EBS only,0.086,Yes,0.0323 (62%)
m6a.large,2,8 GiB,Up to 12500 Megabit,EBS only,0.0864,Yes,0.0341 (61%)
c6gn.large,2,4 GiB,Up to 25 Gigabit,EBS only,0.0864,Yes,0.0323 (63%)
c7i.large,2,4 GiB,Up to 12500 Megabit,EBS only,0.08925,Yes,0.0342 (62%)
m6gd.large,2,8 GiB,Up to 10 Gigabit,1 x 118 NVMe SSD,0.0904,Yes,0.0340 (62%)
c7gd.large,2,4 GiB,Up to 12500 Megabit,1 x 118 NVMe SSD,0.0907,Yes,0.0330 (64%)
t2.large,2,8 GiB,Low to Moderate,EBS only,0.0928,Yes,0.0349 (62%)
m7i-flex.large,2,8 GiB,Up to 12500 Megabit,EBS only,0.09576,Yes,0.0378 (61%)
m6i.large,2,8 GiB,Up to 12500 Megabit,EBS only,0.096,Yes,0.0379 (61%)
c5d.large,2,4 GiB,Up to 10 Gigabit,1 x 50 NVMe SSD,0.096,Yes,0.0347 (64%)
m5.large,2,8 GiB,Up to 10 Gigabit,EBS only,0.096,Yes,0.0361 (62%)
c4.large,2,3.75 GiB,Moderate,EBS only,0.1,Yes,0.0385 (61%)
m4.large,2,8 GiB,Moderate,EBS only,0.1,Yes,0.0376 (62%)
c6id.large,2,4 GiB,Up to 12500 Megabit,1 x 118 NVMe SSD,0.1008,Yes,0.0366 (64%)
r6g.large,2,16 GiB,Up to 10 Gigabit,EBS only,0.1008,Yes,0.0379 (62%)
m7i.large,2,8 GiB,Up to 12500 Megabit,EBS only,0.1008,Yes,0.0398 (61%)
c7a.large,2,4 GiB,Up to 12500 Megabit,EBS only,0.10264,Yes,0.0393 (62%)
m5ad.large,2,8 GiB,Up to 10 Gigabit,1 x 75 NVMe SSD,0.103,Yes,0.0387 (62%)
m7gd.large,2,8 GiB,Up to 12500 Megabit,1 x 118 NVMe SSD,0.1068,Yes,0.0401 (62%)
r7g.large,2,16 GiB,Up to 12500 Megabit,EBS only,0.1071,Yes,0.0423 (61%)
c5n.large,2,5.25 GiB,Up to 25 Gigabit,EBS only,0.108,Yes,0.0341 (68%)
m5d.large,2,8 GiB,Up to 10 Gigabit,1 x 75 NVMe SSD,0.113,Yes,0.0425 (62%)
r5a.large,2,16 GiB,Up to 10 Gigabit,EBS only,0.113,Yes,0.0425 (62%)
r6a.large,2,16 GiB,Up to 12500 Megabit,EBS only,0.1134,Yes,0.0448 (61%)
c6in.large,2,4 GiB,Up to 25000 Megabit,EBS only,0.1134,Yes,0.0358 (68%)
r6gd.large,2,16 GiB,Up to 10 Gigabit,1 x 118 NVMe SSD,0.1152,Yes,0.0433 (62%)
m7a.large,2,8 GiB,Up to 12500 Megabit,EBS only,0.11592,Yes,0.0458 (61%)
m6id.large,2,8 GiB,Up to 12500 Megabit,1 x 118 NVMe SSD,0.11865,Yes,0.0446 (62%)
m5n.large,2,8 GiB,Up to 25 Gigabit,EBS only,0.119,Yes,0.0399 (66%)
c7gn.large,2,4 GiB,Up to 30 Gigabit,EBS only,0.1248,Yes,0.0395 (68%)
r6i.large,2,16 GiB,Up to 12500 Megabit,EBS only,0.126,Yes,0.0497 (61%)
r5.large,2,16 GiB,Up to 10 Gigabit,EBS only,0.126,Yes,0.0474 (62%)
r5ad.large,2,16 GiB,Up to 10 Gigabit,1 x 75 NVMe SSD,0.131,Yes,0.0492 (62%)
r7i.large,2,16 GiB,Up to 12500 Megabit,EBS only,0.1323,Yes,0.0522 (61%)
r4.large,2,15.25 GiB,Up to 10 Gigabit,EBS only,0.133,Yes,0.0500 (62%)
t4g.xlarge,4,16 GiB,Up to 5 Gigabit,EBS only,0.1344,Yes,0.0505 (62%)
m5dn.large,2,8 GiB,Up to 25 Gigabit,1 x 75 NVMe SSD,0.136,Yes,0.0460 (66%)
c6g.xlarge,4,8 GiB,Up to 10 Gigabit,EBS only,0.136,Yes,0.0511 (62%)
r7gd.large,2,16 GiB,Up to 12500 Megabit,1 x 118 NVMe SSD,0.1361,Yes,0.0512 (62%)
m6in.large,2,8 GiB,Up to 25000 Megabit,EBS only,0.13923,Yes,0.0467 (66%)
r5d.large,2,16 GiB,Up to 10 Gigabit,1 x 75 NVMe SSD,0.144,Yes,0.0541 (62%)
is4gen.medium,1,6 GiB,Up to 25 Gigabit,1 x 937 SSD,0.14408,Yes,0.0545 (62%)
c7g.xlarge,4,8 GiB,Up to 12500 Megabit,EBS only,0.1445,Yes,0.0554 (62%)
r5b.large,2,16 GiB,Up to 10 Gigabit,EBS only,0.149,Yes,0.0525 (65%)
r5n.large,2,16 GiB,Up to 25 Gigabit,EBS only,0.149,Yes,0.0525 (65%)
t3a.xlarge,4,16 GiB,Up to 5 Gigabit,EBS only,0.1504,Yes,0.0565 (62%)
r6id.large,2,16 GiB,Up to 12500 Megabit,1 x 118 NVMe SSD,0.1512,Yes,0.0569 (62%)
r7a.large,2,16 GiB,Up to 12500 Megabit,EBS only,0.15215,Yes,0.0601 (61%)
c6a.xlarge,4,8 GiB,Up to 12500 Megabit,EBS only,0.153,Yes,0.0586 (62%)
c6gd.xlarge,4,8 GiB,Up to 10 Gigabit,1 x 237 NVMe SSD,0.1536,Yes,0.0578 (62%)
m6g.xlarge,4,16 GiB,Up to 10 Gigabit,EBS only,0.154,Yes,0.0583 (62%)
c5a.xlarge,4,8 GiB,Up to 10 Gigabit,EBS only,0.154,Yes,0.0579 (62%)
i4g.large,2,16 GiB,Up to 10 Gigabit,1 x 468 SSD,0.15444,Yes,0.0622 (60%)
i3.large,2,15.25 GiB,Up to 10 Gigabit,1 x 475 NVMe SSD,0.156,Yes,0.0660 (58%)
m6idn.large,2,8 GiB,Up to 25000 Megabit,1 x 118 NVMe SSD,0.15912,Yes,0.0538 (66%)
m7g.xlarge,4,16 GiB,Up to 12500 Megabit,EBS only,0.1632,Yes,0.0644 (61%)
m5zn.large,2,8 GiB,Up to 25 Gigabit,EBS only,0.1652,Yes,0.0621 (62%)
t3.xlarge,4,16 GiB,Up to 5 Gigabit,EBS only,0.1664,Yes,0.0626 (62%)
x2gd.large,2,32 GiB,Up to 10 Gigabit,1 x 118 SSD,0.167,Yes,0.0497 (70%)
r5dn.large,2,16 GiB,Up to 25 Gigabit,1 x 75 NVMe SSD,0.167,Yes,0.0592 (65%)
c5.xlarge,4,8 GiB,Up to 10 Gigabit,EBS only,0.17,Yes,0.0613 (64%)
c6i.xlarge,4,8 GiB,Up to 12500 Megabit,EBS only,0.17,Yes,0.0651 (62%)
c5ad.xlarge,4,8 GiB,Up to 10 Gigabit,1 x 150 NVMe SSD,0.172,Yes,0.0647 (62%)
m5a.xlarge,4,16 GiB,Up to 10 Gigabit,EBS only,0.172,Yes,0.0647 (62%)
i4i.large,2,16 GiB,Up to 10 Gigabit,1 x 468 NVMe SSD,0.172,Yes,0.0691 (60%)
c6gn.xlarge,4,8 GiB,Up to 25 Gigabit,EBS only,0.1728,Yes,0.0646 (63%)
m6a.xlarge,4,16 GiB,Up to 12500 Megabit,EBS only,0.1728,Yes,0.0682 (61%)
r6in.large,2,16 GiB,Up to 25000 Megabit,EBS only,0.17433,Yes,0.0615 (65%)
c7i.xlarge,4,8 GiB,Up to 12500 Megabit,EBS only,0.1785,Yes,0.0684 (62%)
m6gd.xlarge,4,16 GiB,Up to 10 Gigabit,1 x 237 NVMe SSD,0.1808,Yes,0.0680 (62%)
c7gd.xlarge,4,8 GiB,Up to 12500 Megabit,1 x 237 NVMe SSD,0.1814,Yes,0.0660 (64%)
im4gn.large,2,8 GiB,Up to 25 Gigabit,1 x 937 SSD,0.1819,Yes,0.0724 (60%)
t2.xlarge,4,16 GiB,Moderate,EBS only,0.1856,Yes,0.0698 (62%)
r7iz.large,2,16 GiB,Up to 12500 Megabit,EBS only,0.186,Yes,0.0667 (64%)
z1d.large,2,16 GiB,Up to 10 Gigabit,1 x 75 NVMe SSD,0.186,Yes,0.0667 (64%)
m7i-flex.xlarge,4,16 GiB,Up to 12500 Megabit,EBS only,0.19152,Yes,0.0756 (61%)
m6i.xlarge,4,16 GiB,Up to 12500 Megabit,EBS only,0.192,Yes,0.0758 (61%)
m5.xlarge,4,16 GiB,Up to 10 Gigabit,EBS only,0.192,Yes,0.0722 (62%)
c5d.xlarge,4,8 GiB,Up to 10 Gigabit,1 x 100 NVMe SSD,0.192,Yes,0.0694 (64%)
r6idn.large,2,16 GiB,Up to 25000 Megabit,1 x 118 NVMe SSD,0.19539,Yes,0.0693 (65%)
c4.xlarge,4,7.5 GiB,High,EBS only,0.199,Yes,0.0780 (61%)
m4.xlarge,4,16 GiB,High,EBS only,0.2,Yes,0.0752 (62%)
m7i.xlarge,4,16 GiB,Up to 12500 Megabit,EBS only,0.2016,Yes,0.0796 (61%)
c6id.xlarge,4,8 GiB,Up to 12500 Megabit,1 x 237 NVMe SSD,0.2016,Yes,0.0733 (64%)
r6g.xlarge,4,32 GiB,Up to 10 Gigabit,EBS only,0.2016,Yes,0.0758 (62%)
c7a.xlarge,4,8 GiB,Up to 12500 Megabit,EBS only,0.20528,Yes,0.0787 (62%)
m5ad.xlarge,4,16 GiB,Up to 10 Gigabit,1 x 150 NVMe SSD,0.206,Yes,0.0775 (62%)
m7gd.xlarge,4,16 GiB,Up to 12500 Megabit,1 x 237 NVMe SSD,0.2136,Yes,0.0803 (62%)
r7g.xlarge,4,32 GiB,Up to 12500 Megabit,EBS only,0.2142,Yes,0.0846 (61%)
c5n.xlarge,4,10.5 GiB,Up to 25 Gigabit,EBS only,0.216,Yes,0.0683 (68%)
r5a.xlarge,4,32 GiB,Up to 10 Gigabit,EBS only,0.226,Yes,0.0850 (62%)
i3en.large,2,16 GiB,Up to 25 Gigabit,1 x 1250 NVMe SSD,0.226,Yes,0.0856 (62%)
m5d.xlarge,4,16 GiB,Up to 10 Gigabit,1 x 150 NVMe SSD,0.226,Yes,0.0850 (62%)
c6in.xlarge,4,8 GiB,Up to 30000 Megabit,EBS only,0.2268,Yes,0.0717 (68%)
r6a.xlarge,4,32 GiB,Up to 12500 Megabit,EBS only,0.2268,Yes,0.0895 (61%)
inf1.xlarge,4,8 GiB,Up to 25 Gigabit,EBS only,0.228,Yes,0.0954 (58%)
r6gd.xlarge,4,32 GiB,Up to 10 Gigabit,1 x 237 NVMe SSD,0.2304,Yes,0.0866 (62%)
m7a.xlarge,4,16 GiB,Up to 12500 Megabit,EBS only,0.23184,Yes,0.0915 (61%)
m6id.xlarge,4,16 GiB,Up to 12500 Megabit,1 x 237 NVMe SSD,0.2373,Yes,0.0892 (62%)
m5n.xlarge,4,16 GiB,Up to 25 Gigabit,EBS only,0.238,Yes,0.0799 (66%)
c7gn.xlarge,4,8 GiB,Up to 40 Gigabit,EBS only,0.2496,Yes,0.0789 (68%)
r5.xlarge,4,32 GiB,Up to 10 Gigabit,EBS only,0.252,Yes,0.0947 (62%)
r6i.xlarge,4,32 GiB,Up to 12500 Megabit,EBS only,0.252,Yes,0.0995 (61%)
r5ad.xlarge,4,32 GiB,Up to 10 Gigabit,1 x 150 NVMe SSD,0.262,Yes,0.0985 (62%)
r7i.xlarge,4,32 GiB,Up to 12500 Megabit,EBS only,0.2646,Yes,0.1045 (61%)
r4.xlarge,4,30.5 GiB,Up to 10 Gigabit,EBS only,0.266,Yes,0.1000 (62%)
t4g.2xlarge,8,32 GiB,Up to 5 Gigabit,EBS only,0.2688,Yes,0.1010 (62%)
m5dn.xlarge,4,16 GiB,Up to 25 Gigabit,1 x 150 NVMe SSD,0.272,Yes,0.0920 (66%)
c6g.2xlarge,8,16 GiB,Up to 10 Gigabit,EBS only,0.272,Yes,0.1023 (62%)
r7gd.xlarge,4,32 GiB,Up to 12500 Megabit,1 x 237 NVMe SSD,0.2722,Yes,0.1024 (62%)
m6in.xlarge,4,16 GiB,Up to 30000 Megabit,EBS only,0.27846,Yes,0.0934 (66%)
r5d.xlarge,4,32 GiB,Up to 10 Gigabit,1 x 150 NVMe SSD,0.288,Yes,0.1083 (62%)
is4gen.large,2,12 GiB,Up to 25 Gigabit,1 x 1875 SSD,0.28815,Yes,0.1091 (62%)
c7g.2xlarge,8,16 GiB,Up to 15 Gigabit,EBS only,0.289,Yes,0.1108 (62%)
r5b.xlarge,4,32 GiB,Up to 10 Gigabit,EBS only,0.298,Yes,0.1051 (65%)
r5n.xlarge,4,32 GiB,Up to 25 Gigabit,EBS only,0.298,Yes,0.1051 (65%)
t3a.2xlarge,8,32 GiB,Up to 5 Gigabit,EBS only,0.3008,Yes,0.1131 (62%)
r6id.xlarge,4,32 GiB,Up to 12500 Megabit,1 x 237 NVMe SSD,0.3024,Yes,0.1137 (62%)
r7a.xlarge,4,32 GiB,Up to 12500 Megabit,EBS only,0.3043,Yes,0.1201 (61%)
c6a.2xlarge,8,16 GiB,Up to 12500 Megabit,EBS only,0.306,Yes,0.1172 (62%)
c6gd.2xlarge,8,16 GiB,Up to 10 Gigabit,1 x 475 NVMe SSD,0.3072,Yes,0.1155 (62%)
m6g.2xlarge,8,32 GiB,Up to 10 Gigabit,EBS only,0.308,Yes,0.1165 (62%)
c5a.2xlarge,8,16 GiB,Up to 10 Gigabit,EBS only,0.308,Yes,0.1158 (62%)
i4g.xlarge,4,32 GiB,Up to 10 Gigabit,1 x 937 SSD,0.30888,Yes,0.1244 (60%)
i3.xlarge,4,30.5 GiB,Up to 10 Gigabit,1 x 950 NVMe SSD,0.312,Yes,0.1320 (58%)
m6idn.xlarge,4,16 GiB,Up to 30000 Megabit,1 x 237 NVMe SSD,0.31824,Yes,0.1077 (66%)
m7g.2xlarge,8,32 GiB,Up to 15 Gigabit,EBS only,0.3264,Yes,0.1289 (61%)
m5zn.xlarge,4,16 GiB,Up to 25 Gigabit,EBS only,0.3303,Yes,0.1242 (62%)
t3.2xlarge,8,32 GiB,Up to 5 Gigabit,EBS only,0.3328,Yes,0.1251 (62%)
r5dn.xlarge,4,32 GiB,Up to 25 Gigabit,1 x 150 NVMe SSD,0.334,Yes,0.1184 (65%)
x2gd.xlarge,4,64 GiB,Up to 10 Gigabit,1 x 237 SSD,0.334,Yes,0.0993 (70%)
c6i.2xlarge,8,16 GiB,Up to 12500 Megabit,EBS only,0.34,Yes,0.1303 (62%)
c5.2xlarge,8,16 GiB,Up to 10 Gigabit,EBS only,0.34,Yes,0.1227 (64%)
i4i.xlarge,4,32 GiB,Up to 10 Gigabit,1 x 937 NVMe SSD,0.343,Yes,0.1382 (60%)
m5a.2xlarge,8,32 GiB,Up to 10 Gigabit,EBS only,0.344,Yes,0.1293 (62%)
c5ad.2xlarge,8,16 GiB,Up to 10 Gigabit,1 x 300 NVMe SSD,0.344,Yes,0.1293 (62%)
m6a.2xlarge,8,32 GiB,Up to 12500 Megabit,EBS only,0.3456,Yes,0.1365 (61%)
c6gn.2xlarge,8,16 GiB,Up to 25 Gigabit,EBS only,0.3456,Yes,0.1291 (63%)
r6in.xlarge,4,32 GiB,Up to 30000 Megabit,EBS only,0.34866,Yes,0.1229 (65%)
c7i.2xlarge,8,16 GiB,Up to 12500 Megabit,EBS only,0.357,Yes,0.1368 (62%)
m6gd.2xlarge,8,32 GiB,Up to 10 Gigabit,1 x 475 NVMe SSD,0.3616,Yes,0.1360 (62%)
inf1.2xlarge,8,16 GiB,Up to 25 Gigabit,EBS only,0.362,Yes,0.1514 (58%)
c7gd.2xlarge,8,16 GiB,Up to 15 Gigabit,1 x 475 NVMe SSD,0.3629,Yes,0.1320 (64%)
im4gn.xlarge,4,16 GiB,Up to 25 Gigabit,1 x 1875 SSD,0.36379,Yes,0.1447 (60%)
t2.2xlarge,8,32 GiB,Moderate,EBS only,0.3712,Yes,0.1396 (62%)
r7iz.xlarge,4,32 GiB,Up to 12500 Megabit,EBS only,0.372,Yes,0.1335 (64%)
z1d.xlarge,4,32 GiB,Up to 10 Gigabit,1 x 150 NVMe SSD,0.372,Yes,0.1335 (64%)
g4ad.xlarge,4,16 GiB,Up to 10 Gigabit,150 GB NVMe SSD,0.37853,Yes,0.1661 (56%)
m7i-flex.2xlarge,8,32 GiB,Up to 12500 Megabit,EBS only,0.38304,Yes,0.1513 (61%)
c5d.2xlarge,8,16 GiB,Up to 10 Gigabit,1 x 200 NVMe SSD,0.384,Yes,0.1387 (64%)
m5.2xlarge,8,32 GiB,Up to 10 Gigabit,EBS only,0.384,Yes,0.1444 (62%)
m6i.2xlarge,8,32 GiB,Up to 12500 Megabit,EBS only,0.384,Yes,0.1516 (61%)
r6idn.xlarge,4,32 GiB,Up to 30000 Megabit,1 x 237 NVMe SSD,0.39078,Yes,
c4.2xlarge,8,15 GiB,High,EBS only,0.398,Yes,0.1551 (61%)
m4.2xlarge,8,32 GiB,High,EBS only,0.4,Yes,0.1504 (62%)
c6id.2xlarge,8,16 GiB,Up to 12500 Megabit,1 x 474 NVMe SSD,0.4032,Yes,0.1467 (64%)
m7i.2xlarge,8,32 GiB,Up to 12500 Megabit,EBS only,0.4032,Yes,0.1592 (61%)
r6g.2xlarge,8,64 GiB,Up to 10 Gigabit,EBS only,0.4032,Yes,0.1516 (62%)
c7a.2xlarge,8,16 GiB,Up to 12500 Megabit,EBS only,0.41056,Yes,0.1573 (62%)
m5ad.2xlarge,8,32 GiB,Up to 10 Gigabit,1 x 300 NVMe SSD,0.412,Yes,0.1549 (62%)
m7gd.2xlarge,8,32 GiB,Up to 15 Gigabit,1 x 475 NVMe SSD,0.4271,Yes,0.1606 (62%)
r7g.2xlarge,8,64 GiB,Up to 15 Gigabit,EBS only,0.4284,Yes,0.1691 (61%)
c5n.2xlarge,8,21 GiB,Up to 25 Gigabit,EBS only,0.432,Yes,0.1365 (68%)
m5d.2xlarge,8,32 GiB,Up to 10 Gigabit,1 x 300 NVMe SSD,0.452,Yes,0.1699 (62%)
r5a.2xlarge,8,64 GiB,Up to 10 Gigabit,EBS only,0.452,Yes,0.1699 (62%)
i3en.xlarge,4,32 GiB,Up to 25 Gigabit,1 x 2500 NVMe SSD,0.452,Yes,0.1712 (62%)
c6in.2xlarge,8,16 GiB,Up to 40000 Megabit,EBS only,0.4536,Yes,0.1433 (68%)
r6a.2xlarge,8,64 GiB,Up to 12500 Megabit,EBS only,0.4536,Yes,0.1791 (61%)
r6gd.2xlarge,8,64 GiB,Up to 10 Gigabit,1 x 475 NVMe SSD,0.4608,Yes,0.1732 (62%)
m7a.2xlarge,8,32 GiB,Up to 12500 Megabit,EBS only,0.46368,Yes,0.1831 (61%)
h1.2xlarge,8,32 GiB,Up to 10 Gigabit,1 x 2000 HDD,0.468,Yes,0.1968 (58%)
m6id.2xlarge,8,32 GiB,Up to 12500 Megabit,1 x 474 NVMe SSD,0.4746,Yes,0.1785 (62%)
m5n.2xlarge,8,32 GiB,Up to 25 Gigabit,EBS only,0.476,Yes,0.1597 (66%)
d3.xlarge,4,32 GiB,Up to 15 Gigabit,3 x 2000 HDD,0.499,Yes,0.1878 (62%)
c7gn.2xlarge,8,16 GiB,Up to 50 Gigabit,EBS only,0.4992,Yes,0.1578 (68%)
r6i.2xlarge,8,64 GiB,Up to 12500 Megabit,EBS only,0.504,Yes,0.1990 (61%)
r5.2xlarge,8,64 GiB,Up to 10 Gigabit,EBS only,0.504,Yes,0.1895 (62%)
r5ad.2xlarge,8,64 GiB,Up to 10 Gigabit,1 x 300 NVMe SSD,0.524,Yes,0.1970 (62%)
g4dn.xlarge,4,16 GiB,Up to 25 Gigabit,125 GB NVMe SSD,0.526,Yes,0.1978 (62%)
r7i.2xlarge,8,64 GiB,Up to 12500 Megabit,EBS only,0.5292,Yes,0.2089 (61%)
r4.2xlarge,8,61 GiB,Up to 10 Gigabit,EBS only,0.532,Yes,0.2000 (62%)
g4ad.2xlarge,8,32 GiB,Up to 10 Gigabit,300 GB NVMe SSD,0.54117,Yes,0.2375 (56%)
m5dn.2xlarge,8,32 GiB,Up to 25 Gigabit,1 x 300 NVMe SSD,0.544,Yes,0.1841 (66%)
c6g.4xlarge,16,32 GiB,Up to 10 Gigabit,EBS only,0.544,Yes,0.2045 (62%)
r7gd.2xlarge,8,64 GiB,Up to 15 Gigabit,1 x 475 NVMe SSD,0.5443,Yes,0.2047 (62%)
m6in.2xlarge,8,32 GiB,Up to 40000 Megabit,EBS only,0.55692,Yes,0.1868 (66%)
r5d.2xlarge,8,64 GiB,Up to 10 Gigabit,1 x 300 NVMe SSD,0.576,Yes,0.2166 (62%)
is4gen.xlarge,4,24 GiB,Up to 25 Gigabit,1 x 3750 SSD,0.5763,Yes,0.2181 (62%)
c7g.4xlarge,16,32 GiB,Up to 15 Gigabit,EBS only,0.5781,Yes,0.2215 (62%)
r5b.2xlarge,8,64 GiB,Up to 10 Gigabit,EBS only,0.596,Yes,0.2101 (65%)
r5n.2xlarge,8,64 GiB,Up to 25 Gigabit,EBS only,0.596,Yes,0.2101 (65%)
r6id.2xlarge,8,64 GiB,Up to 12500 Megabit,1 x 474 NVMe SSD,0.6048,Yes,0.2275 (62%)
r7a.2xlarge,8,64 GiB,Up to 12500 Megabit,EBS only,0.6086,Yes,0.2403 (61%)
c6a.4xlarge,16,32 GiB,Up to 12500 Megabit,EBS only,0.612,Yes,0.2345 (62%)
c6gd.4xlarge,16,32 GiB,Up to 10 Gigabit,1 x 950 NVMe SSD,0.6144,Yes,0.2310 (62%)
c5a.4xlarge,16,32 GiB,Up to 10 Gigabit,EBS only,0.616,Yes,0.2316 (62%)
m6g.4xlarge,16,64 GiB,Up to 10 Gigabit,EBS only,0.616,Yes,0.2331 (62%)
i4g.2xlarge,8,64 GiB,Up to 12 Gigabit,1 x 1875 SSD,0.61776,Yes,0.2487 (60%)
i3.2xlarge,8,61 GiB,Up to 10 Gigabit,1 x 1900 NVMe SSD,0.624,Yes,0.2640 (58%)
m6idn.2xlarge,8,32 GiB,Up to 40000 Megabit,1 x 474 NVMe SSD,0.63648,Yes,0.2154 (66%)
m7g.4xlarge,16,64 GiB,Up to 15 Gigabit,EBS only,0.6528,Yes,0.2577 (61%)
m5zn.2xlarge,8,32 GiB,Up to 25 Gigabit,EBS only,0.6607,Yes,0.2484 (62%)
r5dn.2xlarge,8,64 GiB,Up to 25 Gigabit,1 x 300 NVMe SSD,0.668,Yes,
x2gd.2xlarge,8,128 GiB,Up to 10 Gigabit,1 x 474 SSD,0.668,Yes,0.1986 (70%)
c5.4xlarge,16,32 GiB,Up to 10 Gigabit,EBS only,0.68,Yes,0.2453 (64%)
c6i.4xlarge,16,32 GiB,Up to 12500 Megabit,EBS only,0.68,Yes,0.2606 (62%)
i4i.2xlarge,8,64 GiB,Up to 12 Gigabit,1 x 1875 NVMe SSD,0.686,Yes,0.2764 (60%)
m5a.4xlarge,16,64 GiB,Up to 10 Gigabit,EBS only,0.688,Yes,0.2587 (62%)
c5ad.4xlarge,16,32 GiB,Up to 10 Gigabit,2 x 300 NVMe SSD,0.688,Yes,0.2587 (62%)
c6gn.4xlarge,16,32 GiB,25 Gigabit,EBS only,0.6912,Yes,0.2583 (63%)
m6a.4xlarge,16,64 GiB,Up to 12500 Megabit,EBS only,0.6912,Yes,0.2729 (61%)
r6in.2xlarge,8,64 GiB,Up to 40000 Megabit,EBS only,0.69732,Yes,0.2457 (65%)
c7i.4xlarge,16,32 GiB,Up to 12500 Megabit,EBS only,0.714,Yes,0.2736 (62%)
m6gd.4xlarge,16,64 GiB,Up to 10 Gigabit,1 x 950 NVMe SSD,0.7232,Yes,0.2719 (62%)
c7gd.4xlarge,16,32 GiB,Up to 15 Gigabit,1 x 950 NVMe SSD,0.7258,Yes,0.2640 (64%)
im4gn.2xlarge,8,32 GiB,Up to 25 Gigabit,1 x 3750 SSD,0.72758,Yes,0.2895 (60%)
r7iz.2xlarge,8,64 GiB,Up to 12500 Megabit,EBS only,0.744,Yes,0.2670 (64%)
z1d.2xlarge,8,64 GiB,Up to 10 Gigabit,1 x 300 NVMe SSD,0.744,Yes,0.2670 (64%)
g3s.xlarge,4,30.5 GiB,10 Gigabit,EBS only,0.75,Yes,0.3807 (49%)
g4dn.2xlarge,8,32 GiB,Up to 25 Gigabit,225 GB NVMe SSD,0.752,Yes,0.2828 (62%)
inf2.xlarge,4,16 GiB,Up to 15 Gigabit,EBS only,0.7582,Yes,0.2851 (62%)
m7i-flex.4xlarge,16,64 GiB,Up to 12500 Megabit,EBS only,0.76608,Yes,0.3025 (61%)
m6i.4xlarge,16,64 GiB,Up to 12500 Megabit,EBS only,0.768,Yes,0.3032 (61%)
c5d.4xlarge,16,32 GiB,Up to 10 Gigabit,1 x 400 NVMe SSD,0.768,Yes,0.2775 (64%)
m5.4xlarge,16,64 GiB,Up to 10 Gigabit,EBS only,0.768,Yes,0.2888 (62%)
r6idn.2xlarge,8,64 GiB,Up to 40000 Megabit,1 x 474 NVMe SSD,0.78156,Yes,0.2770 (65%)
c4.4xlarge,16,30 GiB,High,EBS only,0.796,Yes,0.3102 (61%)
m4.4xlarge,16,64 GiB,High,EBS only,0.8,Yes,0.3008 (62%)
c6id.4xlarge,16,32 GiB,Up to 12500 Megabit,1 x 950 NVMe SSD,0.8064,Yes,0.2933 (64%)
r6g.4xlarge,16,128 GiB,Up to 10 Gigabit,EBS only,0.8064,Yes,0.3032 (62%)
m7i.4xlarge,16,64 GiB,Up to 12500 Megabit,EBS only,0.8064,Yes,0.3184 (61%)
c7a.4xlarge,16,32 GiB,Up to 12500 Megabit,EBS only,0.82112,Yes,0.3146 (62%)
m5ad.4xlarge,16,64 GiB,Up to 10 Gigabit,2 x 300 NVMe SSD,0.824,Yes,0.3098 (62%)
x2iedn.xlarge,4,128 GiB,Up to 25 Gigabit,1 x 118 NVMe SSD,0.83363,Yes,0.2327 (72%)
x1e.xlarge,4,122 GiB,Up to 10 Gigabit,1 x 120 SSD,0.834,Yes,0.2333 (72%)
m7gd.4xlarge,16,64 GiB,Up to 15 Gigabit,1 x 950 NVMe SSD,0.8543,Yes,0.3212 (62%)
r7g.4xlarge,16,128 GiB,Up to 15 Gigabit,EBS only,0.8568,Yes,0.3383 (61%)
c5n.4xlarge,16,42 GiB,Up to 25 Gigabit,EBS only,0.864,Yes,0.2731 (68%)
g4ad.4xlarge,16,64 GiB,Up to 10 Gigabit,600 GB NVMe SSD,0.867,Yes,0.3805 (56%)
p2.xlarge,4,61 GiB,High,EBS only,0.9,Yes,0.3995 (56%)
m5d.4xlarge,16,64 GiB,Up to 10 Gigabit,2 x 300 NVMe SSD,0.904,Yes,0.3399 (62%)
r5a.4xlarge,16,128 GiB,Up to 10 Gigabit,EBS only,0.904,Yes,0.3399 (62%)
i3en.2xlarge,8,64 GiB,Up to 25 Gigabit,2 x 2500 NVMe SSD,0.904,Yes,0.3424 (62%)
