Instance name,vCPUs,Memory,Network Performance,Storage,On-Demand Hourly Cost,CurrentGeneration,Potential Effective Hourly Cost (Savings %)
c6g.metal,64,128 GiB,25 Gigabit,EBS only,2.176,Yes,0.8182 (62%)
m5dn.8xlarge,32,128 GiB,25 Gigabit,2 x 600 NVMe SSD,2.176,Yes,0.7363 (66%)
c6g.16xlarge,64,128 GiB,25 Gigabit,EBS only,2.176,Yes,0.8182 (62%)
c7gd.12xlarge,48,96 GiB,22500 Megabit,2 x 1425 NVMe SSD,2.1773,Yes,0.7919 (64%)
r7gd.8xlarge,32,256 GiB,15 Gigabit,1 x 1900 NVMe SSD,2.1773,Yes,0.8189 (62%)
m6in.8xlarge,32,128 GiB,50000 Megabit,EBS only,2.22768,Yes,0.7474 (66%)
z1d.6xlarge,24,192 GiB,10 Gigabit,1 x 900 NVMe SSD,2.232,Yes,0.8011 (64%)
g3.8xlarge,32,244 GiB,10 Gigabit,EBS only,2.28,Yes,1.0114 (56%)
m5.12xlarge,48,192 GiB,10 Gigabit,EBS only,2.304,Yes,0.8663 (62%)
m6i.12xlarge,48,192 GiB,18750 Megabit,EBS only,2.304,Yes,0.9096 (61%)
c5d.12xlarge,48,96 GiB,12 Gigabit,2 x 900 NVMe SSD,2.304,Yes,0.8421 (63%)
r5d.8xlarge,32,256 GiB,10 Gigabit,2 x 600 NVMe SSD,2.304,Yes,0.8663 (62%)
is4gen.4xlarge,16,96 GiB,25 Gigabit,2 x 7500 SSD,2.3052,Yes,0.8725 (62%)
c7g.16xlarge,64,128 GiB,30 Gigabit,EBS only,2.3123,Yes,0.8860 (62%)
c7g.metal,64,128 GiB,30 Gigabit,EBS only,2.3123,Yes,0.8860 (62%)
r5b.8xlarge,32,256 GiB,10 Gigabit,EBS only,2.384,Yes,0.8404 (65%)
r5n.8xlarge,32,256 GiB,25 Gigabit,EBS only,2.384,Yes,0.8404 (65%)
c6id.12xlarge,48,96 GiB,18750 Megabit,2 x 1425 NVMe SSD,2.4192,Yes,0.8798 (64%)
m7i.12xlarge,48,192 GiB,18750 Megabit,EBS only,2.4192,Yes,0.9551 (61%)
r6g.12xlarge,48,384 GiB,20 Gigabit,EBS only,2.4192,Yes,0.9096 (62%)
r6id.8xlarge,32,256 GiB,12500 Megabit,1 x 1900 NVMe SSD,2.4192,Yes,0.9099 (62%)
r7a.8xlarge,32,256 GiB,12500 Megabit,EBS only,2.4344,Yes,0.9611 (61%)
g5.8xlarge,32,128 GiB,25 Gigabit,1 x 900 GB NVMe SSD,2.448,Yes,0.9204 (62%)
c6a.16xlarge,64,128 GiB,25000 Megabit,EBS only,2.448,Yes,0.9381 (62%)
c6gd.metal,64,128 GiB,25 Gigabit,2 x 1900 NVMe SSD,2.4576,Yes,0.9240 (62%)
c6gd.16xlarge,64,128 GiB,25 Gigabit,2 x 1900 NVMe SSD,2.4576,Yes,0.9240 (62%)
c7a.12xlarge,48,96 GiB,18750 Megabit,EBS only,2.46336,Yes,0.9439 (62%)
m6g.16xlarge,64,256 GiB,25 Gigabit,EBS only,2.464,Yes,0.9323 (62%)
c5a.16xlarge,64,128 GiB,20 Gigabit,EBS only,2.464,Yes,0.9264 (62%)
m6g.metal,64,256 GiB,25 Gigabit,EBS only,2.464,Yes,0.9323 (62%)
i4g.8xlarge,32,256 GiB,18750 Megabit,2 x 3750 SSD,2.47104,Yes,0.9949 (60%)
m5ad.12xlarge,48,192 GiB,10 Gigabit,2 x 900 NVMe SSD,2.472,Yes,0.9295 (62%)
i3.8xlarge,32,244 GiB,10 Gigabit,4 x 1900 NVMe SSD,2.496,Yes,1.0558 (58%)
m6idn.8xlarge,32,128 GiB,50000 Megabit,1 x 1900 NVMe SSD,2.54592,Yes,0.8615 (66%)
m7gd.12xlarge,48,192 GiB,22500 Megabit,2 x 1425 NVMe SSD,2.5628,Yes,0.9636 (62%)
r7g.12xlarge,48,384 GiB,22500 Megabit,EBS only,2.5704,Yes,1.0148 (61%)
m7g.16xlarge,64,256 GiB,30 Gigabit,EBS only,2.6112,Yes,1.0309 (61%)
m7g.metal,64,256 GiB,30 Gigabit,EBS only,2.6112,Yes,1.0309 (61%)
x2gd.8xlarge,32,512 GiB,12 Gigabit,1 x 1900 SSD,2.672,Yes,0.7944 (70%)
r5dn.8xlarge,32,256 GiB,25 Gigabit,2 x 600 NVMe SSD,2.672,Yes,0.9469 (65%)
r5a.12xlarge,48,384 GiB,10 Gigabit,EBS only,2.712,Yes,1.0197 (62%)
m5d.12xlarge,48,192 GiB,10 Gigabit,2 x 900 NVMe SSD,2.712,Yes,1.0197 (62%)
i3en.6xlarge,24,192 GiB,25 Gigabit,2 x 7500 NVMe SSD,2.712,Yes,1.0271 (62%)
c6i.16xlarge,64,128 GiB,25000 Megabit,EBS only,2.72,Yes,1.0423 (62%)
c6in.12xlarge,48,96 GiB,75000 Megabit,EBS only,2.7216,Yes,0.8601 (68%)
